"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 06 22:39:53 GMT 2023","Mon Mar 06 22:40:10 GMT 2023","16264","","Campo Personalizado | Desafio Base2 | Automação Web","","Campo Personalizado | Desafio Base2 | Automação Web","validar uso de campo personalizado","validar uso de campo personalizado",""
"passed","Mon Mar 06 22:48:15 GMT 2023","Mon Mar 06 22:48:27 GMT 2023","11590","","Tarefa | Desafio Base2 | Automação Web","","Tarefa | Desafio Base2 | Automação Web","reabrir tarefa","reabrir tarefa",""
"passed","Mon Mar 06 22:51:56 GMT 2023","Mon Mar 06 22:52:06 GMT 2023","9621","","Usuário | Desafio Base2 | Automação Web","","Usuário | Desafio Base2 | Automação Web","buscar usuario pelo nome exato","buscar usuario pelo nome exato",""
"passed","Mon Mar 06 22:41:30 GMT 2023","Mon Mar 06 22:41:39 GMT 2023","8565","","Categoria | Desafio Base2 | Automação Web","","Categoria | Desafio Base2 | Automação Web","criar e editar categoria","criar e editar categoria",""
"passed","Mon Mar 06 22:44:49 GMT 2023","Mon Mar 06 22:45:00 GMT 2023","10832","","Projeto | Desafio Base2 | Automação Web","","Projeto | Desafio Base2 | Automação Web","editar nome projeto","editar nome projeto",""
"passed","Mon Mar 06 22:47:45 GMT 2023","Mon Mar 06 22:47:55 GMT 2023","9870","","Tarefa | Desafio Base2 | Automação Web","","Tarefa | Desafio Base2 | Automação Web","criar tarefa e alterar status - de: novo para: atribuído","criar tarefa e alterar status - de: novo para: atribuído",""
"passed","Mon Mar 06 22:40:10 GMT 2023","Mon Mar 06 22:40:28 GMT 2023","17965","","Campo Personalizado | Desafio Base2 | Automação Web","","Campo Personalizado | Desafio Base2 | Automação Web","apagar campo personalizado","apagar campo personalizado",""
"passed","Mon Mar 06 22:42:27 GMT 2023","Mon Mar 06 22:42:30 GMT 2023","2857","","Gerais| Desafio Base2 | Automação Web","","Gerais| Desafio Base2 | Automação Web","acessar página de resumo","acessar página de resumo",""
"passed","Mon Mar 06 22:46:37 GMT 2023","Mon Mar 06 22:46:45 GMT 2023","8558","","Tarefa | Desafio Base2 | Automação Web","","Tarefa | Desafio Base2 | Automação Web","criar tarefa e validar tarefa na lista","criar tarefa e validar tarefa na lista",""
"passed","Mon Mar 06 22:45:10 GMT 2023","Mon Mar 06 22:45:23 GMT 2023","12610","","Projeto | Desafio Base2 | Automação Web","","Projeto | Desafio Base2 | Automação Web","desabilitar projeto","desabilitar projeto",""
"passed","Mon Mar 06 22:51:32 GMT 2023","Mon Mar 06 22:51:43 GMT 2023","11135","","Usuário | Desafio Base2 | Automação Web","","Usuário | Desafio Base2 | Automação Web","buscar usuario pelo login exato","buscar usuario pelo login exato",""
